Name,Suburb,School Level
ESPERANCE CHRISTIAN PRIMARY SCHOOL,ESPERANCE,NON-GOVERNMENT
ESPERANCE PRIMARY SCHOOL,ESPERANCE,PRIMARY SCHOOLS
ESPERANCE SENIOR HIGH SCHOOL,ESPERANCE,SECONDARY SCHOOLS
ESPERANCE SENIOR HIGH SCHOOL EDUCATION SUPPORT CENTRE,ESPERANCE,EDUCATION SUPPORT
EXCELSIOR PRIMARY SCHOOL,CANNING VALE,PRIMARY SCHOOLS
EXMOUTH DISTRICT HIGH SCHOOL,EXMOUTH,DISTRICT HIGH SCHOOLS
FAIRBRIDGE COLLEGE,PINJARRA,NON-GOVERNMENT
FAIRVIEW PRIMARY SCHOOL,COLLIE,PRIMARY SCHOOLS
FALCON PRIMARY SCHOOL,WANNANUP,PRIMARY SCHOOLS
FALLS ROAD PRIMARY SCHOOL,LESMURDIE,PRIMARY SCHOOLS
FITZROY VALLEY DISTRICT HIGH SCHOOL,FITZROY CROSSING,DISTRICT HIGH SCHOOLS
FLINDERS PARK PRIMARY SCHOOL,ALBANY,PRIMARY SCHOOLS
FLOREAT PARK PRIMARY SCHOOL,FLOREAT,PRIMARY SCHOOLS
FOREST CRESCENT PRIMARY SCHOOL,THORNLIE,PRIMARY SCHOOLS
FORRESTDALE PRIMARY SCHOOL,FORRESTDALE,PRIMARY SCHOOLS
FORRESTFIELD PRIMARY SCHOOL,FORRESTFIELD,PRIMARY SCHOOLS
FOUNDATION CHRISTIAN COLLEGE,GREENFIELDS,NON-GOVERNMENT
FOUNTAIN COLLEGE,FERNDALE,NON-GOVERNMENT
FRANCIS JORDAN CATHOLIC SCHOOL,CURRAMBINE,NON-GOVERNMENT
FRANKLAND RIVER PRIMARY SCHOOL,FRANKLAND RIVER,PRIMARY SCHOOLS
FREDERICK IRWIN ANGLICAN SCHOOL,MANDURAH,NON-GOVERNMENT
FREMANTLE CHRISTIAN COLLEGE,HAMILTON HILL,NON-GOVERNMENT
FREMANTLE COLLEGE,BEACONSFIELD,SECONDARY SCHOOLS
FREMANTLE LANGUAGE DEVELOPMENT CENTRE,WILLAGEE,EDUCATION SUPPORT
FREMANTLE PRIMARY SCHOOL,FREMANTLE,PRIMARY SCHOOLS
FRESHWATER BAY PRIMARY SCHOOL,CLAREMONT,PRIMARY SCHOOLS
GAIRDNER PRIMARY SCHOOL,GAIRDNER,PRIMARY SCHOOLS
GASCOYNE JUNCTION REMOTE COMMUNITY SCHOOL,GASCOYNE JUNCTION,PRIMARY SCHOOLS
GEOGRAPHE EDUCATION SUPPORT CENTRE,BUSSELTON,EDUCATION SUPPORT
GEOGRAPHE PRIMARY SCHOOL,BUSSELTON,PRIMARY SCHOOLS
GEORGIANA MOLLOY ANGLICAN SCHOOL,YALYALUP,NON-GOVERNMENT
GERALDTON FLEXIBLE LEARNING CENTRE,GERALDTON,NON-GOVERNMENT
GERALDTON GRAMMAR SCHOOL,GERALDTON,NON-GOVERNMENT
GERALDTON PRIMARY SCHOOL,GERALDTON,PRIMARY SCHOOLS
GERALDTON SENIOR COLLEGE,GERALDTON,SECONDARY SCHOOLS
GIBBS STREET PRIMARY SCHOOL,EAST CANNINGTON,PRIMARY SCHOOLS
GIDGEGANNUP PRIMARY SCHOOL,GIDGEGANNUP,PRIMARY SCHOOLS
GILMORE COLLEGE,ORELIA,SECONDARY SCHOOLS
GINGIN DISTRICT HIGH SCHOOL,GINGIN,DISTRICT HIGH SCHOOLS
GIRRAWHEEN SENIOR HIGH SCHOOL,GIRRAWHEEN,SECONDARY SCHOOLS
GLADYS NEWTON SCHOOL,BALGA,EDUCATION SUPPORT
GLEN FORREST COMMUNITY KINDERGARTEN,GLEN FORREST,COMMUNITY KINDERGARTENS
GLEN FORREST PRIMARY SCHOOL,GLEN FORREST,PRIMARY SCHOOLS
GLEN HUON PRIMARY SCHOOL,EATON,PRIMARY SCHOOLS
GLENCOE PRIMARY SCHOOL,HALLS HEAD,PRIMARY SCHOOLS
GLENDALE PRIMARY SCHOOL,HAMERSLEY,PRIMARY SCHOOLS
GLENGARRY PRIMARY SCHOOL,DUNCRAIG,PRIMARY SCHOOLS
GNOWANGERUP DISTRICT HIGH SCHOOL,GNOWANGERUP,DISTRICT HIGH SCHOOLS
GOLDEN BAY PRIMARY SCHOOL,GOLDEN BAY,PRIMARY SCHOOLS
GOLDEN HILL STEINER SCHOOL,DENMARK,NON-GOVERNMENT
GOLDFIELDS BAPTIST COLLEGE,KALGOORLIE,NON-GOVERNMENT
GOOD SHEPHERD CATHOLIC PRIMARY SCHOOL,KELMSCOTT,NON-GOVERNMENT
GOOD SHEPHERD CATHOLIC SCHOOL,LOCKRIDGE,NON-GOVERNMENT
GOOLLELAL PRIMARY SCHOOL,KINGSLEY,PRIMARY SCHOOLS
GOOMALLING PRIMARY SCHOOL,GOOMALLING,PRIMARY SCHOOLS
GOOSEBERRY HILL PRIMARY SCHOOL,GOOSEBERRY HILL,PRIMARY SCHOOLS
GOSNELLS PRIMARY SCHOOL,GOSNELLS,PRIMARY SCHOOLS
GOVERNOR STIRLING SENIOR HIGH SCHOOL,WOODBRIDGE,SECONDARY SCHOOLS
GRACE CHRISTIAN SCHOOL,BUNBURY,NON-GOVERNMENT
GREAT SOUTHERN GRAMMAR,LOWER KALGAN,NON-GOVERNMENT
GREENBUSHES PRIMARY SCHOOL,GREENBUSHES,PRIMARY SCHOOLS
GREENFIELDS PRIMARY SCHOOL,GREENFIELDS,PRIMARY SCHOOLS
GREENMOUNT PRIMARY SCHOOL,GREENMOUNT,PRIMARY SCHOOLS
GREENWOOD COLLEGE,GREENWOOD,SECONDARY SCHOOLS
GREENWOOD PRIMARY SCHOOL,GREENWOOD,PRIMARY SCHOOLS
GROVELANDS PRIMARY SCHOOL,CAMILLO,PRIMARY SCHOOLS
GUILDFORD GRAMMAR SCHOOL,GUILDFORD,NON-GOVERNMENT
GUILDFORD PRIMARY SCHOOL,GUILDFORD,PRIMARY SCHOOLS
GWYNNE PARK EDUCATION SUPPORT CENTRE,ARMADALE,EDUCATION SUPPORT
GWYNNE PARK PRIMARY SCHOOL,ARMADALE,PRIMARY SCHOOLS
HALE SCHOOL,WEMBLEY DOWNS,NON-GOVERNMENT
HALIDON PRIMARY SCHOOL,KINGSLEY,PRIMARY SCHOOLS
HALLS CREEK DISTRICT HIGH SCHOOL,HALLS CREEK,DISTRICT HIGH SCHOOLS
HALLS HEAD COLLEGE,HALLS HEAD,SECONDARY SCHOOLS
HALLS HEAD COLLEGE EDUCATION SUPPORT CENTRE,HALLS HEAD,EDUCATION SUPPORT
HALLS HEAD PRIMARY SCHOOL,HALLS HEAD,PRIMARY SCHOOLS
HAMMOND PARK CATHOLIC PRIMARY SCHOOL,HAMMOND PARK,NON-GOVERNMENT
HAMMOND PARK PRIMARY SCHOOL,HAMMOND PARK,PRIMARY SCHOOLS
HAMPTON PARK PRIMARY SCHOOL,MORLEY,PRIMARY SCHOOLS
HAMPTON SENIOR HIGH SCHOOL,MORLEY,SECONDARY SCHOOLS
HANNANS PRIMARY SCHOOL,KALGOORLIE,PRIMARY SCHOOLS
HARMONY PRIMARY SCHOOL,ATWELL,PRIMARY SCHOOLS
HARRISDALE PRIMARY SCHOOL,HARRISDALE,PRIMARY SCHOOLS
HARRISDALE SENIOR HIGH SCHOOL,HARRISDALE,SECONDARY SCHOOLS
HARVEY PRIMARY SCHOOL,HARVEY,PRIMARY SCHOOLS
HARVEY SENIOR HIGH SCHOOL,HARVEY,SECONDARY SCHOOLS
HAWKER PARK PRIMARY SCHOOL,WARWICK,PRIMARY SCHOOLS
HAZEL ORME COMMUNITY KINDERGARTEN,WHITE GUM VALLEY,COMMUNITY KINDERGARTENS
HEATHRIDGE PRIMARY SCHOOL,HEATHRIDGE,PRIMARY SCHOOLS
HEDLAND SENIOR HIGH SCHOOL,SOUTH HEDLAND,SECONDARY SCHOOLS
HELENA COLLEGE,GLEN FORREST,NON-GOVERNMENT
HELENA RIVER STEINER SCHOOL,MIDLAND,NON-GOVERNMENT
HELENA VALLEY PRIMARY SCHOOL,HELENA VALLEY,PRIMARY SCHOOLS
HENSMAN STREET ELEMENTARY,SOUTH PERTH,NON-GOVERNMENT
HERITAGE COLLEGE,FORRESTFIELD,NON-GOVERNMENT
HERNE HILL PRIMARY SCHOOL,HERNE HILL,PRIMARY SCHOOLS
HIGH WYCOMBE PRIMARY SCHOOL,HIGH WYCOMBE,PRIMARY SCHOOLS
HIGHGATE PRIMARY SCHOOL,HIGHGATE,PRIMARY SCHOOLS
HILLARYS COMMUNITY KINDERGARTEN,HILLARYS,COMMUNITY KINDERGARTENS
HILLARYS PRIMARY SCHOOL,HILLARYS,PRIMARY SCHOOLS
HILLCREST PRIMARY SCHOOL,BAYSWATER,PRIMARY SCHOOLS
HILLMAN PRIMARY SCHOOL,HILLMAN,PRIMARY SCHOOLS
HILLSIDE CHRISTIAN COLLEGE,FORRESTFIELD,NON-GOVERNMENT
HILTON PRIMARY SCHOOL,HILTON,PRIMARY SCHOOLS
HOCKING PRIMARY SCHOOL,HOCKING,PRIMARY SCHOOLS
HOLLAND STREET SCHOOL,GERALDTON,EDUCATION SUPPORT
HOLLYWOOD PRIMARY SCHOOL,NEDLANDS,PRIMARY SCHOOLS
HOLY CROSS COLLEGE,ELLENBROOK,NON-GOVERNMENT
HOLY ROSARY SCHOOL,DERBY,NON-GOVERNMENT
HOLY ROSARY SCHOOL,DOUBLEVIEW,NON-GOVERNMENT
HOLY SPIRIT SCHOOL,CITY BEACH,NON-GOVERNMENT
HONEYWOOD PRIMARY SCHOOL,WANDI,PRIMARY SCHOOLS
HOPE CHRISTIAN COLLEGE,ROELANDS,NON-GOVERNMENT
HOPETOUN PRIMARY SCHOOL,HOPETOUN,PRIMARY SCHOOLS
HUDSON PARK PRIMARY SCHOOL,GIRRAWHEEN,PRIMARY SCHOOLS
HUNTINGDALE PRIMARY SCHOOL,HUNTINGDALE,PRIMARY SCHOOLS
HYDEN PRIMARY SCHOOL,HYDEN,PRIMARY SCHOOLS
ILLAWARRA PRIMARY SCHOOL,BALLAJURA,PRIMARY SCHOOLS
IMMACULATE HEART COLLEGE,LOWER CHITTERING,NON-GOVERNMENT
INFANT JESUS SCHOOL,MORLEY,NON-GOVERNMENT
INGLEWOOD PRIMARY SCHOOL,INGLEWOOD,PRIMARY SCHOOLS
INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA,CITY BEACH,NON-GOVERNMENT
IONA PRESENTATION COLLEGE,MOSMAN PARK,NON-GOVERNMENT
IRENE MCCORMACK CATHOLIC COLLEGE,BUTLER,NON-GOVERNMENT
JANDAKOT PRIMARY SCHOOL,SUCCESS,PRIMARY SCHOOLS
JARRAHDALE PRIMARY SCHOOL,JARRAHDALE,PRIMARY SCHOOLS
JERDACUTTUP PRIMARY SCHOOL,RAVENSTHORPE,PRIMARY SCHOOLS
JERRAMUNGUP DISTRICT HIGH SCHOOL,JERRAMUNGUP,DISTRICT HIGH SCHOOLS
JIGALONG REMOTE COMMUNITY SCHOOL,VIA NEWMAN,PRIMARY SCHOOLS
JOHN BUTLER PRIMARY COLLEGE,BUTLER,PRIMARY SCHOOLS
JOHN CALVIN CHRISTIAN COLLEGE,ARMADALE,NON-GOVERNMENT
JOHN CALVIN SCHOOL,ALBANY,NON-GOVERNMENT
JOHN CURTIN COLLEGE OF THE ARTS,FREMANTLE,SECONDARY SCHOOLS
JOHN FORREST SECONDARY COLLEGE,MORLEY,SECONDARY SCHOOLS
JOHN PAUL COLLEGE,KALGOORLIE,NON-GOVERNMENT
JOHN PUJAJANGKA-PIYIRN SCHOOL,"VIA HALLS CREEK, MULAN",NON-GOVERNMENT
JOHN SEPTIMUS ROE ANGLICAN COMMUNITY SCHOOL,MIRRABOOKA,NON-GOVERNMENT
JOHN TONKIN COLLEGE,MANDURAH,SECONDARY SCHOOLS
JOHN TONKIN COLLEGE EDUCATION SUPPORT CENTRE,MANDURAH,EDUCATION SUPPORT
JOHN WILLCOCK COLLEGE,GERALDTON,SECONDARY SCHOOLS
JOHN WOLLASTON ANGLICAN COMMUNITY SCHOOL,CAMILLO,NON-GOVERNMENT
JOHN XXIII COLLEGE,MOUNT CLAREMONT,NON-GOVERNMENT
JOLIMONT PRIMARY SCHOOL,JOLIMONT,PRIMARY SCHOOLS
JOONDALUP EDUCATION SUPPORT CENTRE,JOONDALUP,EDUCATION SUPPORT
JOONDALUP PRIMARY SCHOOL,JOONDALUP,PRIMARY SCHOOLS
JOSEPH BANKS SECONDARY COLLEGE,BANKSIA GROVE,SECONDARY SCHOOLS
JUNGDRANUNG REMOTE COMMUNITY SCHOOL,GLEN HILL STATION,PRIMARY SCHOOLS
JURIEN BAY DISTRICT HIGH SCHOOL,JURIEN BAY,DISTRICT HIGH SCHOOLS
KALAMUNDA CHRISTIAN SCHOOL,WALLISTON,NON-GOVERNMENT
KALAMUNDA PRIMARY EDUCATION SUPPORT CENTRE,KALAMUNDA,EDUCATION SUPPORT
KALAMUNDA PRIMARY SCHOOL,KALAMUNDA,PRIMARY SCHOOLS
KALAMUNDA SECONDARY EDUCATION SUPPORT CENTRE,KALAMUNDA,EDUCATION SUPPORT
KALAMUNDA SENIOR HIGH SCHOOL,KALAMUNDA,SECONDARY SCHOOLS
KALANNIE PRIMARY SCHOOL,KALANNIE,PRIMARY SCHOOLS
KALBARRI DISTRICT HIGH SCHOOL,KALBARRI,DISTRICT HIGH SCHOOLS
KALGOORLIE PRIMARY SCHOOL,KALGOORLIE,PRIMARY SCHOOLS
KALGOORLIE SCHOOL OF THE AIR,BOULDER,PRIMARY SCHOOLS
KALGOORLIE-BOULDER COMMUNITY HIGH SCHOOL,KALGOORLIE,SECONDARY SCHOOLS
KALUMBURU REMOTE COMMUNITY SCHOOL,KALUMBURU,PRIMARY SCHOOLS
KAMBALDA PRIMARY SCHOOL,KAMBALDA EAST,PRIMARY SCHOOLS
KAMBALDA WEST DISTRICT HIGH SCHOOL,KAMBALDA WEST,DISTRICT HIGH SCHOOLS
KAPINARA PRIMARY SCHOOL,CITY BEACH,PRIMARY SCHOOLS
KARDINYA PRIMARY SCHOOL,KARDINYA,PRIMARY SCHOOLS
KARRATHA PRIMARY SCHOOL,KARRATHA,PRIMARY SCHOOLS
KARRATHA SENIOR HIGH SCHOOL,KARRATHA,SECONDARY SCHOOLS
KARRIDALE PRIMARY SCHOOL,KARRIDALE,PRIMARY SCHOOLS
KARRINYUP PRIMARY SCHOOL,KARRINYUP,PRIMARY SCHOOLS
KATANNING PRIMARY SCHOOL,KATANNING,PRIMARY SCHOOLS
KATANNING SENIOR HIGH SCHOOL,KATANNING,SECONDARY SCHOOLS
KEARNAN COLLEGE,MANJIMUP,NON-GOVERNMENT
KELLERBERRIN DISTRICT HIGH SCHOOL,KELLERBERRIN,DISTRICT HIGH SCHOOLS
KELMSCOTT JOHN CALVIN SCHOOL,CHAMPION LAKES,NON-GOVERNMENT
KELMSCOTT PRIMARY SCHOOL,KELMSCOTT,PRIMARY SCHOOLS
KELMSCOTT SENIOR HIGH SCHOOL,KELMSCOTT,SECONDARY SCHOOLS
KENDENUP PRIMARY SCHOOL,KENDENUP,PRIMARY SCHOOLS
KENNEDY BAPTIST COLLEGE,MURDOCH,NON-GOVERNMENT
KENSINGTON PRIMARY SCHOOL,KENSINGTON,PRIMARY SCHOOLS
KENSINGTON SECONDARY SCHOOL,KENSINGTON,EDUCATION SUPPORT
KENT STREET SENIOR HIGH SCHOOL,EAST VICTORIA PARK,SECONDARY SCHOOLS
KENWICK SCHOOL,KENWICK,EDUCATION SUPPORT
KERRY STREET COMMUNITY SCHOOL,HAMILTON HILL,NON-GOVERNMENT
KEWDALE PRIMARY SCHOOL,KEWDALE,PRIMARY SCHOOLS
KIARA COLLEGE,KIARA,SECONDARY SCHOOLS
KIMBERLEY SCHOOL OF THE AIR,DERBY,PRIMARY SCHOOLS
KINDAIMANNA COMMUNITY KINDERGARTEN,KELMSCOTT,COMMUNITY KINDERGARTENS
KINGSLEY PRIMARY SCHOOL,ARMADALE,PRIMARY SCHOOLS
KINGSTON PRIMARY SCHOOL,AUSTRALIND,PRIMARY SCHOOLS
KINGSWAY CHRISTIAN COLLEGE,DARCH,NON-GOVERNMENT
KINROSS COLLEGE,KINROSS,SECONDARY SCHOOLS
KINROSS PRIMARY SCHOOL,KINROSS,PRIMARY SCHOOLS
KIRUP PRIMARY SCHOOL,KIRUP,PRIMARY SCHOOLS
KOJONUP DISTRICT HIGH SCHOOL,KOJONUP,DISTRICT HIGH SCHOOLS
KOLBE CATHOLIC COLLEGE,ROCKINGHAM,NON-GOVERNMENT
KONDININ PRIMARY SCHOOL,KONDININ,PRIMARY SCHOOLS
KOONDOOLA PRIMARY SCHOOL,KOONDOOLA,PRIMARY SCHOOLS
KOORANA EDUCATION SUPPORT CENTRE,WARNBRO,EDUCATION SUPPORT
KOORANA PRIMARY SCHOOL,WARNBRO,PRIMARY SCHOOLS
KOORDA PRIMARY SCHOOL,KOORDA,PRIMARY SCHOOLS
KUKERIN PRIMARY SCHOOL,KUKERIN,PRIMARY SCHOOLS
KULIN DISTRICT HIGH SCHOOL,KULIN,DISTRICT HIGH SCHOOLS
KULKARRIYA COMMUNITY SCHOOL,VIA FITZROY CROSSING,NON-GOVERNMENT
KUNUNURRA DISTRICT HIGH SCHOOL,KUNUNURRA,K-12 SCHOOLS
KURURRUNGKU CATHOLIC EDUCATION CENTRE,VIA HALLS CREEK,NON-GOVERNMENT
KYILLA PRIMARY SCHOOL,NORTH PERTH,PRIMARY SCHOOLS
LA GRANGE REMOTE COMMUNITY SCHOOL,BIDYADANGA,PRIMARY SCHOOLS
LA SALLE COLLEGE,MIDDLE SWAN,NON-GOVERNMENT
LAKE GRACE DISTRICT HIGH SCHOOL,LAKE GRACE,DISTRICT HIGH SCHOOLS
LAKE GWELUP PRIMARY SCHOOL,GWELUP,PRIMARY SCHOOLS
LAKE JOONDALUP BAPTIST COLLEGE,JOONDALUP,NON-GOVERNMENT
LAKE KING PRIMARY SCHOOL,LAKE KING,PRIMARY SCHOOLS
LAKE MONGER PRIMARY SCHOOL,WEMBLEY,PRIMARY SCHOOLS
LAKELAND SENIOR HIGH SCHOOL,SOUTH LAKE,SECONDARY SCHOOLS
LAKELANDS PRIMARY SCHOOL,LAKELANDS,PRIMARY SCHOOLS
LANCE HOLT SCHOOL,FREMANTLE,NON-GOVERNMENT
LANCELIN PRIMARY SCHOOL,LANCELIN,PRIMARY SCHOOLS
LANDSDALE CHRISTIAN SCHOOL,LANDSDALE,NON-GOVERNMENT
LANDSDALE PRIMARY SCHOOL,LANDSDALE,PRIMARY SCHOOLS
LANGFORD ISLAMIC COLLEGE,LANGFORD,NON-GOVERNMENT
LATHLAIN PRIMARY SCHOOL,LATHLAIN,PRIMARY SCHOOLS
LAVERTON SCHOOL,LAVERTON,PRIMARY SCHOOLS
LEANING TREE STEINER SCHOOL,GERALDTON,NON-GOVERNMENT
LEDA EDUCATION SUPPORT CENTRE,LEDA,EDUCATION SUPPORT
LEDA PRIMARY SCHOOL,LEDA,PRIMARY SCHOOLS
LEEMAN PRIMARY SCHOOL,LEEMAN,PRIMARY SCHOOLS
LEEMING PRIMARY SCHOOL,LEEMING,PRIMARY SCHOOLS
LEEMING SENIOR HIGH SCHOOL,LEEMING,SECONDARY SCHOOLS
LEEMING SENIOR HIGH SCHOOL EDUCATION SUPPORT CENTRE,LEEMING,EDUCATION SUPPORT
LEINSTER COMMUNITY SCHOOL,LEINSTER,PRIMARY SCHOOLS
LEONORA DISTRICT HIGH SCHOOL,LEONORA,DISTRICT HIGH SCHOOLS
LESCHENAULT CATHOLIC PRIMARY SCHOOL,AUSTRALIND,NON-GOVERNMENT
LESMURDIE PRIMARY SCHOOL,LESMURDIE,PRIMARY SCHOOLS
LESMURDIE SENIOR HIGH SCHOOL,LESMURDIE,SECONDARY SCHOOLS
LITTLE GROVE PRIMARY SCHOOL,LITTLE GROVE,PRIMARY SCHOOLS
LIVING WATERS LUTHERAN COLLEGE,WARNBRO,NON-GOVERNMENT
LIWARA CATHOLIC PRIMARY SCHOOL,GREENWOOD,NON-GOVERNMENT
LOCKRIDGE PRIMARY SCHOOL,LOCKRIDGE,PRIMARY SCHOOLS
LOCKYER COMMUNITY KINDERGARTEN,ALBANY,COMMUNITY KINDERGARTENS
LOOMA REMOTE COMMUNITY SCHOOL,LOOMA,PRIMARY SCHOOLS
LORETO NEDLANDS,NEDLANDS,NON-GOVERNMENT
LOWER KING COMMUNITY KINDERGARTEN,LOWER KING,COMMUNITY KINDERGARTENS
LUMEN CHRISTI COLLEGE,MARTIN,NON-GOVERNMENT
LUURNPA CATHOLIC SCHOOL,VIA HALLS CREEK,NON-GOVERNMENT
LYNWOOD SENIOR HIGH SCHOOL,PARKWOOD,SECONDARY SCHOOLS
MADDINGTON EDUCATION SUPPORT CENTRE,MADDINGTON,EDUCATION SUPPORT
MADDINGTON PRIMARY SCHOOL,MADDINGTON,PRIMARY SCHOOLS
MADELEY PRIMARY SCHOOL,MADELEY,PRIMARY SCHOOLS
MAIDA VALE PRIMARY SCHOOL,MAIDA VALE,PRIMARY SCHOOLS
MAIDENS PARK PRIMARY SCHOOL,BUNBURY,PRIMARY SCHOOLS
MAJELLA CATHOLIC PRIMARY SCHOOL,BALGA,NON-GOVERNMENT
MAKYBE RISE PRIMARY SCHOOL,BALDIVIS,PRIMARY SCHOOLS
MALIBU SCHOOL,SAFETY BAY,EDUCATION SUPPORT
MALVERN SPRINGS PRIMARY SCHOOL,ELLENBROOK,PRIMARY SCHOOLS
MANDURAH BAPTIST COLLEGE,LAKELANDS,NON-GOVERNMENT
MANDURAH CATHOLIC COLLEGE,MANDURAH,NON-GOVERNMENT
MANDURAH PRIMARY SCHOOL,MANDURAH,PRIMARY SCHOOLS
MANEA SENIOR COLLEGE,BUNBURY,SECONDARY SCHOOLS
MANJIMUP EDUCATION SUPPORT CENTRE,MANJIMUP,EDUCATION SUPPORT
MANJIMUP PRIMARY SCHOOL,MANJIMUP,PRIMARY SCHOOLS
MANJIMUP SENIOR HIGH SCHOOL,MANJIMUP,SECONDARY SCHOOLS
MANNING PRIMARY SCHOOL,MANNING,PRIMARY SCHOOLS
MARANGAROO PRIMARY SCHOOL,MARANGAROO,PRIMARY SCHOOLS
MARBLE BAR PRIMARY SCHOOL,MARBLE BAR,PRIMARY SCHOOLS
MARGARET RIVER INDEPENDENT SCHOOL,FOREST GROVE,NON-GOVERNMENT
MARGARET RIVER MONTESSORI SCHOOL,MARGARET RIVER,NON-GOVERNMENT
MARGARET RIVER PRIMARY SCHOOL,MARGARET RIVER,PRIMARY SCHOOLS
MARGARET RIVER SENIOR HIGH SCHOOL,MARGARET RIVER,SECONDARY SCHOOLS
MARMION PRIMARY SCHOOL,MARMION,PRIMARY SCHOOLS
MARRI GROVE PRIMARY SCHOOL,BYFORD,PRIMARY SCHOOLS
MARY MACKILLOP CATHOLIC COMMUNITY SCHOOL,BALLAJURA,NON-GOVERNMENT
MARY'S MOUNT PRIMARY SCHOOL,GOOSEBERRY HILL,NON-GOVERNMENT
MATER CHRISTI CATHOLIC PRIMARY SCHOOL,YANGEBUP,NON-GOVERNMENT
MATER DEI COLLEGE,EDGEWATER,NON-GOVERNMENT
MATTHEW GIBNEY CATHOLIC PRIMARY SCHOOL,HIGH WYCOMBE,NON-GOVERNMENT
MAYLANDS PENINSULA PRIMARY SCHOOL,MAYLANDS,PRIMARY SCHOOLS
MAZENOD COLLEGE,LESMURDIE,NON-GOVERNMENT
MCDOUGALL PARK COMMUNITY KINDERGARTEN INC,COMO,COMMUNITY KINDERGARTENS
MEADOW SPRINGS EDUCATION SUPPORT CENTRE,MEADOW SPRINGS,EDUCATION SUPPORT
MEADOW SPRINGS PRIMARY SCHOOL,MEADOW SPRINGS,PRIMARY SCHOOLS
MECKERING PRIMARY SCHOOL,MECKERING,PRIMARY SCHOOLS
MEDINA PRIMARY SCHOOL,MEDINA,PRIMARY SCHOOLS
MEEKATHARRA DISTRICT HIGH SCHOOL,MEEKATHARRA,DISTRICT HIGH SCHOOLS
MEEKATHARRA SCHOOL OF THE AIR,BLUFF POINT,PRIMARY SCHOOLS
MEL MARIA CATHOLIC PRIMARY SCHOOL,ATTADALE,NON-GOVERNMENT
MELVILLE PRIMARY SCHOOL,MELVILLE,PRIMARY SCHOOLS
MELVILLE SENIOR HIGH SCHOOL,MELVILLE,SECONDARY SCHOOLS
MENZIES COMMUNITY SCHOOL,MENZIES,PRIMARY SCHOOLS
MERCEDES COLLEGE,PERTH,NON-GOVERNMENT
MERCY COLLEGE,KOONDOOLA,NON-GOVERNMENT
MERREDIN COLLEGE,MERREDIN,K-12 SCHOOLS
MERRIWA EDUCATION SUPPORT CENTRE,MERRIWA,EDUCATION SUPPORT
MERRIWA PRIMARY SCHOOL,MERRIWA,PRIMARY SCHOOLS
METHODIST LADIES' COLLEGE,CLAREMONT,NON-GOVERNMENT
MIDDLE SWAN PRIMARY SCHOOL,STRATTON,PRIMARY SCHOOLS
MIDVALE PRIMARY SCHOOL,MIDVALE,PRIMARY SCHOOLS
MILING PRIMARY SCHOOL,MILING,PRIMARY SCHOOLS
MILLARS WELL PRIMARY SCHOOL,KARRATHA,PRIMARY SCHOOLS
MILLEN PRIMARY SCHOOL,EAST VICTORIA PARK,PRIMARY SCHOOLS
MINDARIE PRIMARY SCHOOL,MINDARIE,PRIMARY SCHOOLS
MINDARIE SENIOR COLLEGE,MINDARIE,SECONDARY SCHOOLS
MINGENEW PRIMARY SCHOOL,MINGENEW,PRIMARY SCHOOLS
MOERLINA SCHOOL,MOUNT CLAREMONT,NON-GOVERNMENT
MOORA PRIMARY SCHOOL,MOORA,PRIMARY SCHOOLS
MOORDITJ NOONGAR COMMUNITY COLLEGE,MIDLAND,PRIMARY SCHOOLS
MOORINE ROCK PRIMARY SCHOOL,MOORINE ROCK,PRIMARY SCHOOLS
MORAWA DISTRICT HIGH SCHOOL,MORAWA,DISTRICT HIGH SCHOOLS
MORLEY PRIMARY SCHOOL,MORLEY,PRIMARY SCHOOLS
MORLEY SENIOR HIGH SCHOOL,NORANDA,SECONDARY SCHOOLS
MOSMAN PARK PRIMARY SCHOOL,MOSMAN PARK,PRIMARY SCHOOLS
MOSMAN PARK SCHOOL FOR DEAF CHILDREN,MOSMAN PARK,EDUCATION SUPPORT
MOTHER TERESA CATHOLIC COLLEGE,BALDIVIS,NON-GOVERNMENT
MOUNT BARKER COMMUNITY COLLEGE,MOUNT BARKER,K-12 SCHOOLS
MOUNT CLAREMONT PRIMARY SCHOOL,MOUNT CLAREMONT,PRIMARY SCHOOLS
MOUNT HAWTHORN EDUCATION SUPPORT CENTRE,MOUNT HAWTHORN,EDUCATION SUPPORT
MOUNT HAWTHORN PRIMARY SCHOOL,MOUNT HAWTHORN,PRIMARY SCHOOLS
MOUNT HELENA COMMUNITY KINDERGARTEN,MOUNT HELENA,COMMUNITY KINDERGARTENS
MOUNT HELENA PRIMARY SCHOOL,MOUNT HELENA,PRIMARY SCHOOLS
MOUNT LAWLEY PRIMARY SCHOOL,MOUNT LAWLEY,PRIMARY SCHOOLS
MOUNT LAWLEY SENIOR HIGH SCHOOL,MOUNT LAWLEY,SECONDARY SCHOOLS
MOUNT LOCKYER PRIMARY SCHOOL,ALBANY,PRIMARY SCHOOLS
MOUNT MAGNET DISTRICT HIGH SCHOOL,MOUNT MAGNET,DISTRICT HIGH SCHOOLS
MOUNT MANYPEAKS PRIMARY SCHOOL,MANYPEAKS,PRIMARY SCHOOLS
MOUNT MARGARET REMOTE COMMUNITY SCHOOL,MOUNT MARGARET,PRIMARY SCHOOLS
